国家,接入号码,备注
中国,4000628686,中文
中国,8008708686,中文
中国,4000011122,英文
中国,8008701122,英文
全球接入号,86-21-60264000,中文
全球接入号,86-21-60264033,英文
澳大利亚,1800461923,国际免费接入
法国,0800914334,国际免费接入
德国,08000827159,国际免费接入
香港,800964250,国际免费接入
爱尔兰,1800948667,国际免费接入
美国/加拿大,18553939780,国际免费接入
新加坡,8001012842,国际免费接入
澳门,85362625247,本地接入号码
台湾,801127456,国际免费接入
日本,00531161350,国际免费接入
韩国,798142072817,国际免费接入
马来西亚,1800816792,国际免费接入
英国,8007563389,国际免费接入
泰国,18001562072817,国际免费接入
加拿大,18553227838,国际免费接入
意大利,800899003,国际免费接入
印度,8008521466,国际免费接入
斯洛伐克,800606802,国际免费接入
俄罗斯,88001003613,国际免费接入
菲律宾,180011101700,国际免费接入
墨西哥,18001122438,国际免费接入
印度尼西亚,18030202817,国际免费接入
巴西,8000380596,国际免费接入
瑞士,800836086,国际免费接入
西班牙,900834237,国际免费接入
阿联酋,800035703359,国际免费接入
芬兰,800917220,国际免费接入
克罗地亚,8009302,国际免费接入
奥地利,800296749,国际免费接入
哥伦比亚,18005183918,国际免费接入
希腊,80016122072861,国际免费接入
台湾,886277080495,本地接入号码
美国,16466520725,本地接入号码
日本,5068648093,本地接入号码
荷兰,8000220524,国际免费接入
挪威,80069116,国际免费接入
伦敦（英国）(首选),442080978000,本地接入号码
伦敦（英国）(次选),442030310789,本地接入号码
波兰,008001124610,国际免费接入
都灵（意大利）,390113719528,本地接入号码
荷兰,31202620570,本地接入号码
法国,33176660092,本地接入号码
香港,85269630240,本地接入号码
新加坡,6531586292,本地接入号码
比利时,080073320,国际免费接入
捷克,800222512,国际免费接入
南非,0800992507,国际免费接入
阿根廷,08004443046,国际免费接入
新西兰,0800452952,国际免费接入
越南,12280099,国际免费接入
东京（日本）,05068648046,本地接入号码
马来西亚,60377244259,本地接入号码
首尔（韩国）,0234836309,本地接入号码
