Country,Access Number,Remark
China,4000628686,Chinese Prompt
China,8008708686,Chinese Prompt
China,4000011122,English Prompt
China,8008701122,English Prompt
International Dial In,86-21-60264000,Chinese Prompt
International Dial In,86-21-60264033,English Prompt
Australia,1800461923,ITFS
France,0800914334,ITFS
Germany,08000827159,ITFS
Hongkong,800964250,ITFS
Ireland,1800948667,ITFS
USA/Canada,18553939780,ITFS
Singapore,8001012842,ITFS
Macao,85362625247,Local connect number
Taiwan,801127456,ITFS
Japan,00531161350,ITFS
Korea,798142072817,ITFS
Malaysia,1800816792,ITFS
Britain,8007563389,ITFS
Thailand,18001562072817,ITFS
Canada,18553227838,ITFS
Italy,800899003,ITFS
India,8008521466,ITFS
Slovakia,800606802,ITFS
Russian,88001003613,ITFS
Philippines,180011101700,ITFS
Mexico,18001122438,ITFS
Indonesia,18030202817,ITFS
Brazil,8000380596,ITFS
Switzerland,800836086,ITFS
Spain,900834237,ITFS
United Arab Emirates,800035703359,ITFS
Finland,800917220,ITFS
Croatia,8009302,ITFS
Austria,800296749,ITFS
Columbia,18005183918,ITFS
Greece,80016122072861,ITFS
Taiwan,886277080495,Local connect number
USA,16466520725,Local connect number
Japan,5068648093,Local connect number
Netherlands,8000220524,ITFS
Norway,80069116,ITFS
London(First Choice),442080978000,Local connect number
London(Second Choice),442030310789,Local connect number
Poland,008001124610,ITFS
Turin(Italy),390113719528,Local connect number
Netherlands,31202620570,Local connect number
France,33176660092,Local connect number
Hongkong,85269630240,Local connect number
Singapore,6531586292,Local connect number
Belgium,080073320,ITFS
Czech,800222512,ITFS
South Africa,0800992507,ITFS
Argentina,08004443046,ITFS
New Zealand,0800452952,ITFS
Vietnam,12280099,ITFS
Tokyo(Japan),05068648046,Local connect number
Malaysia,60377244259,Local connect number
Seoul(Korea),0234836309,Local connect number
