"id","num_prefix","loc_start","loc_end"
1,"1360",160,199
2,"1366",140,199
3,"1450",560,579
4,"1450",660,799
5,"1450",870,899
6,"1453",183,189
7,"1851",210,219
8,"1851",640,643
9,"1851",650,679
10,"1300",210,219
11,"1300",310,329
12,"1300",410,419
13,"1301",280,289
14,"1302",10,29
15,"1302",210,219
16,"1302",310,329
17,"1302",410,419
18,"1303",210,219
19,"1304",60,69
20,"1304",160,169
21,"1304",210,219
22,"1304",410,419
23,"1304",460,469
24,"1304",560,569
25,"1304",660,669
26,"1305",200,259
27,"1306",160,199
28,"1306",260,289
29,"1307",210,219
30,"1312",50,99
31,"1312",200,299
32,"1312",480,489
33,"1312",750,799
34,"1314",810,819
35,"1316",200,299
36,"1316",600,649
37,"1316",700,729
38,"1324",800,839
39,"1326",220,229
40,"1326",250,299
41,"1329",600,629
42,"1450",560,579
43,"1450",660,799
44,"1450",870,899
45,"1452",60,79
46,"1453",60,79
47,"1453",160,189
48,"1453",250,269
49,"1550",210,219
50,"1560",160,199
51,"1569",210,219
52,"1850",160,179
53,"1850",210,219
54,"1851",210,219
55,"1851",600,643
56,"1851",650,679
57,"1852",100,199
58,"1860",160,179
59,"1860",210,219
60,"1861",600,699
61,"1862",100,199
62,"1810",160,199
63,"1812",100,129
64,"1814",970,979
65,"1800",160,199
66,"1801",600,609
67,"1801",620,649
68,"1801",700,799
69,"1801",850,869
70,"1801",880,889
71,"1801",900,949
72,"1804",970,989
73,"1890",160,199
74,"1891",600,899
75,"1893",0,99
76,"1893",970,999
77,"1896",400,499
78,"1530",40,99
79,"1530",160,199
80,"1531",600,799
81,"1533",772,772
82,"1534",20,29
83,"1330",160,199
84,"1331",0,19
85,"1331",160,199
86,"1332",180,199
87,"1333",180,199
88,"1334",160,199
89,"1336",180,199
90,"1337",0,19
91,"1337",20,29
92,"1337",180,199
93,"1338",150,199
94,"1338",600,629
95,"1339",100,149
96,"1340",200,219
97,"1347",240,289
98,"1348",200,289
99,"1350",160,199
100,"1351",210,219
101,"1352",400,499
102,"1356",400,499
103,"1358",550,599
104,"1360",160,199
105,"1361",160,199
106,"1362",160,199
107,"1363",630,669
108,"1364",160,199
109,"1365",160,199
110,"1366",140,199
111,"1367",150,199
112,"1368",160,199
113,"1370",160,199
114,"1376",100,199
115,"1376",400,499
116,"1377",420,449
117,"1378",890,899
118,"1379",520,549
119,"1380",160,199
120,"1381",600,899
121,"1390",160,199
122,"1391",600,899
123,"1470",210,219
124,"1472",100,129
125,"1472",180,199
126,"1478",190,299
127,"1500",0,99
128,"1500",170,199
129,"1500",210,219
130,"1502",100,199
131,"1502",640,699
132,"1510",210,219
133,"1512",100,119
134,"1520",170,199
135,"1520",210,219
136,"1521",430,439
137,"1521",660,689
138,"1522",100,199
139,"1570",180,189
140,"1570",210,219
141,"1571",10,19
142,"1571",160,169
143,"1572",100,159
144,"1580",30,99
145,"1580",170,199
146,"1580",210,219
147,"1582",100,199
148,"1590",40,99
149,"1590",160,199
150,"1590",210,219
151,"1592",100,199
152,"1820",170,199
153,"1820",210,219
154,"1821",700,779
155,"1822",100,199
156,"1830",170,199
157,"1830",210,219
158,"1831",700,719
159,"1832",100,199
160,"1870",170,199
161,"1870",210,219
162,"1871",770,799
163,"1872",100,199
164,"1880",20,39
165,"1880",160,199
166,"1880",210,219
167,"1881",650,669
168,"1881",690,699
169,"1881",720,829
170,"1882",100,129
171,"1889",990,999
172,"1881",650,659
173,"",NULL,NULL
